SUPERNOVA,REDSHIFT,MOD_DIST,MOD_DIST ERR
1993ah,0.028488,353.465.833.928,0.223905932998
1993ag,0.050043,366.823.679.154,0.166828851413
1993o,0.052926,368.176.912.545,0.1557559148
1993b,0.070086,374.467.365.424,0.158466934433
1992bs,0.062668,374.834.093.505,0.156099434739
1992br,0.087589,382.290.570.494,0.187745679272
1992bp,0.078577,374.881.622.607,0.155635656185
1992bo,0.017227,346.543.699.503,0.199337179559
1992bl,0.042233,363.364.595.483,0.167174042338
1992bh,0.045295,366.402.721.756,0.164981248644
1992bg,0.03648,359.053.219.652,0.170174952845
1992bc,0.019599,345.852.174.312,0.184691219687
1992aq,0.100915,384.567.455.954,0.167333481677
1992ag,0.027342,35.085.765.693,0.175510835947
1992ae,0.074605,375.881.157.565,0.15977086456
1992p,0.026489,354.806.851.993,0.19131226974
1990af,0.049922,365.669.734.706,0.162303819627
1990o,0.030604,355.502.377.594,0.173295444142
2001cz,0.016345641,340.440.277.752,0.142912931364
2001cn,0.0154363,339.409.483.971,0.148694109648
2001ba,0.030529,355.992.457.186,0.088750663709
2000ca,0.024525,350.581.706.649,0.102438504345
2000bh,0.023953,349.687.103.775,0.107041197195
1999gp,0.026038,353.672.620.682,0.108499792159
1993ac,0.048948,367.315.973.987,0.172547618731
1994m,0.024314,351.094.950.645,0.181662706307
1994s,0.015166,341.016.666.152,0.215239340732
1994t,0.03572,359.605.406.407,0.171186987363
1995ac,0.048818,363.820.107.761,0.160299265066
1995ak,0.0219800059146,348.529.733.574,0.187544764358
1996ab,0.1244,390.447.885.112,0.164268687505
1996bl,0.036,358.210.170.957,0.167885249541
1996bo,0.016321,340.174.211.141,0.204965074268
1996bv,0.01673,342.263.371.692,0.209464670311
1996c,0.0275,356.497.059.082,0.176364688958
2000fa,0.021793,349.737.868.712,0.232449382954
2000dk,0.01645,341.812.962.858,0.250896560248
2000cn,0.023208,350.855.427.174,0.231479604833
2000cf,0.036457,361.342.331.256,0.217628588382
1999gd,0.019264,349.526.137.319,0.24063381695
1999ek,0.017605,343.437.956.957,0.271650644819
1999cc,0.031528,357.287.687.764,0.225362488845
